,Name,Inspection_Score,Inspection_Grade,Rating,Reviews,Price,Category
108,Loews Santa Monica,90,A,3.5,413,$$$,Hotels
109,Toasted Bun,90,A,3.5,311,$,Breakfast & Brunch
110,Shekarchi Kabob,94,A,5.0,77,$$,Mediterranean
111,TAO Asian Bistro,98,A,4.0,679,$$$,Asian Fusion
112,Tacos Tu Madre,90,A,4.0,950,$,Tapas/Small Plates
113,Jersey Mike's Subs,96,A,3.5,63,$,Sandwiches
114,Artesia Bar,95,A,3.5,44,$$,Karaoke
115,The Back Abbey,96,A,4.0,1810,$$,Burgers
116,Quickie's Pizzas & Subs,90,A,4.0,167,$,Pizza
119,Super Burrito,93,A,4.0,252,$,Mexican
120,Etorna Restaurant,95,A,4.0,88,$$,Italian
121,Pizza Boy,91,A,4.5,507,$$,Pizza
122,The Coffee Bean & Tea Leaf,94,A,3.0,69,$,Coffee & Tea
123,La Moderna Bakery,93,A,4.0,212,$,Bakeries
124,Elabrew Coffee,92,A,4.0,160,$,Cafes
125,Kabuki Japanese Restaurant,90,A,3.5,706,$$,Sushi Bars
126,KFC,93,A,2.0,42,$,Fast Food
127,My Thai,90,A,4.0,486,$$,Thai
128,Casa Jimenez,91,A,3.5,152,$,Mexican
130,Seven Grand,90,A,4.0,2046,$$,Lounges
131,Mr. Sate,90,A,4.5,170,$$,Indonesian
133,Town Kitchen & Grill,92,A,4.0,286,$$,American (New)
134,V Cafe,94,A,4.0,178,$$,Cafes
135,Hunan Spicy Taste Restaurant,90,A,3.0,77,$$,Chinese
136,REDCAT,97,A,4.5,43,NA,Performing Arts
137,JINYA Ramen Bar,87,B,4.0,192,$$,Ramen
139,Mi Patria Restaurant,96,A,3.0,80,$$,Peruvian
140,MJ Cafe & Teahouse,90,A,3.0,1076,$,Coffee & Tea
142,Tea Master Matcha Cafe & Green Tea Shop,96,A,5.0,1012,$,Coffee & Tea
143,Niccolo's Hillside Pizza,90,A,3.5,112,$$,Pizza
144,Groundwork Coffee Co.,94,A,4.5,278,$$,Coffee & Tea
145,La Michoacana PLUS ice cream parlor,96,A,3.5,49,$,Ice Cream & Frozen Yogurt
148,Urth Caffé- Melrose,93,A,4.0,2613,$$,Sandwiches
150,Wings 101,94,A,4.0,45,$,Chicken Wings
152,Sharkie Poke,97,A,4.5,181,$,Seafood
153,KPB Asian Bistro,94,A,4.5,134,$,Asian Fusion
155,Mel's Fish Shack,90,A,4.0,364,$$,Seafood Markets
156,Diana's Restaurant,95,A,2.5,62,$$,Mexican
158,El Huarachito,91,A,4.5,552,$,Mexican
159,Sushi Nishi,95,A,4.0,361,$$,Japanese
162,Thai Plate Restaurant,91,A,3.5,168,$$,Thai
163,Renaud's Patisserie and Bistro,98,A,4.5,425,$$,Cafes
164,The Chicken Shack,90,A,3.5,297,$$,Peruvian
166,Bun Me!,96,A,4.0,754,$,Vietnamese
167,Meet in Paris,90,A,4.0,1369,$$,French
168,Aliki's Greek Taverna,97,A,4.5,908,$$,Greek
169,Little Bean,96,A,4.0,420,$,Shaved Ice
170,Valentino's Pizza,91,A,3.5,84,$,Pizza
171,Rose & Blanc Tea Room,97,A,4.5,62,$$,Tea Rooms
172,El 7 Mares,91,A,3.0,126,$$,Seafood
176,Juice Crafters,91,A,4.0,77,$$,Juice Bars & Smoothies
178,Tarme Mediterranean Grill,92,A,4.0,357,$$,Mediterranean
179,Zayna Flaming Grill,90,A,4.5,1032,$$,Mediterranean
180,The Venue,98,A,4.0,175,$$,Karaoke
181,Venice Bakery & Restaurant,86,B,4.0,271,$,Bakeries
182,Penelope's Cafe Books & Gallery,97,A,4.0,104,$$,Art Galleries
184,Bibigo Fresh Korean Kitchen,93,A,3.5,90,$,Korean
186,Hokkaido Seafood Buffet,90,A,3.0,791,$$,Japanese
187,Wingstop,93,A,3.5,103,$$,Chicken Wings
188,Poke Rainbow,91,A,4.0,191,$$,Poke
190,Pita Café,90,A,4.0,99,$$,Mediterranean
193,Hyperion Public,90,A,4.0,790,$$,Gastropubs
194,California Fish Grill,97,A,4.0,317,$$,Seafood
195,Maya's Restaurant,97,A,4.0,116,$,Mexican
197,Little Ethiopia Restaurant,94,A,3.5,169,$$,Ethiopian
198,Quarters Korean BBQ,96,A,4.0,2239,$$,Korean
199,Leo's Tacos Truck,94,A,4.5,1494,$,Food Trucks
200,Miyako Restaurant,90,A,3.5,150,$$,Sushi Bars
201,Daphne's,92,A,3.0,163,$,Greek
202,Wingstop,90,A,3.0,242,$,Chicken Wings
203,Rosa's La Cabana,90,A,4.0,102,$$,Mexican
207,Baked Bear,96,A,4.0,64,$,Desserts
208,Poke & More - Artesia,98,A,4.5,99,$,Hawaiian
209,Square Mixx,90,A,4.0,141,$$,Korean
212,Dunkin' Donuts,93,A,3.0,487,$,Donuts
215,Ayres Hotel Manhattan Beach/Hawthorne,96,A,4.0,163,$$,Hotels
220,Goji Tea House,80,B,4.0,133,$,Bubble Tea
221,Pokiholic,91,A,4.0,544,$,Japanese
222,Trimana,90,A,4.0,66,$,Delis
223,The Conga Room,92,A,2.5,516,$$,Dance Clubs
224,Equinox West Hollywood,94,A,3.5,314,$$$,Gyms
225,Snug Harbor,98,A,3.5,307,$$,Breakfast & Brunch
226,Bay Cities Italian Deli,90,A,4.0,4333,$,Delis
227,4th Street Market,97,A,4.0,651,$$,Food Court
228,Kech Cafe- South Bay,95,A,4.5,132,$,Mediterranean
229,Rice Yummy,94,A,3.0,70,$$,Chinese
230,Shabu Shabu House,90,A,4.0,1341,$$,Japanese
231,Fish Grill,95,A,4.0,254,$$,Seafood
233,Fosselman's Ice Cream,95,A,4.0,2324,$,Ice Cream & Frozen Yogurt
236,Roots Cafe,91,A,4.5,167,$,Cafes
237,Burger Lounge,96,A,4.0,271,$$,Burgers
238,Panda Chinese Fast Food,91,A,3.0,56,$,Chinese
239,Christy's Donuts,95,A,4.0,140,$,Restaurants
240,LA Buns & Company,93,A,3.5,124,$,Burgers
242,NORMS Restaurant,97,A,3.0,674,$$,Diners
243,Road To Seoul,97,A,4.0,3484,$$,Korean
244,Lunar Feast Bodhi Veggie Cuisine,95,A,4.0,251,$$,Vegetarian
245,Whole Foods Market,96,A,3.0,290,$$$,Grocery
246,Applebee's Grill + Bar,93,A,2.5,341,$$,American (Traditional)
247,Il Segreto Ristorante Belair,90,A,4.0,78,$$$,Italian
248,Bergamot Cafe,93,A,4.0,224,$,Coffee & Tea
249,Taco Deli,90,A,3.5,124,$,Mexican
252,Johnnie's New York Pizzeria,90,A,3.5,295,$$,Pizza
253,El Floridita,92,A,3.5,401,$$,Cuban
256,Truxton's American Bistro,94,A,4.0,1253,$$,American (New)
257,CiCi's Cafe,93,A,4.5,2922,$$,Breakfast & Brunch
258,Kreation Organic Kafe & Juicery,96,A,3.5,464,$$,Cafes
259,Prik Kee Noo Thai,90,A,4.0,73,$,Thai
260,Shibuya,98,A,4.5,598,$$$,Sushi Bars
261,China Boy Express,79,C,4.0,178,$,Chinese
262,Jersey Mike's Subs,97,A,3.5,87,$$,Sandwiches
263,Mama Petrillo's,98,A,3.5,253,$$,Italian
265,Best Fish Taco In Ensenada,92,A,4.0,2030,$,Mexican
266,Glory Days Sports Grill,90,A,3.0,276,$$,American (Traditional)
268,TRU Bowl Superfood Bar,91,A,4.0,215,$,Juice Bars & Smoothies
271,Newhall Press Room,100,A,4.5,100,$$,Wine Bars
272,The Derby,98,A,4.0,717,$$$,Steakhouses
273,Pressed Juicery,91,A,4.5,74,$$,Juice Bars & Smoothies
276,Ubon Thai Kitchen,91,A,4.0,345,$,Thai
277,Round Table Pizza,94,A,3.5,79,$$,Pizza
278,Hummus Republic,91,A,4.5,113,$$,Mediterranean
281,La Golondrina Mexican Cafe,91,A,3.5,831,$$,Mexican
282,Ernie's Burgers,91,A,4.0,81,$,Burgers
283,The Artist Pizzeria,93,A,4.0,534,$,Pizza
285,Kang Kang Food Court,83,B,3.5,635,$,Taiwanese
287,Domino's Pizza,93,A,2.0,57,$,Pizza
288,Chipotle Mexican Grill,95,A,2.0,96,$,Mexican
289,The Coffee Bean & Tea Leaf,95,A,4.0,57,$,Coffee & Tea
290,Jim's Burgers,86,B,3.5,76,$,Burgers
291,Aloha Food Factory,94,A,4.0,1072,$,Hawaiian
292,Carnitas Uruapan,90,A,4.5,119,$,Mexican
293,Sammy's Woodfired Pizza and Grill - El Segundo,91,A,3.5,557,$$,Pizza
294,House of Pastry,97,A,4.5,145,$$,Bakeries
296,Bottega Louie,92,A,4.0,15794,$$,Italian
297,Northgate Market,97,A,3.5,59,$$,Grocery
298,Pizza Beer And Wings,95,A,4.0,125,$$,Pizza
299,Shah Abbas,90,A,3.0,189,$$,Middle Eastern
300,Honeymee Westminster,92,A,4.0,280,$,Desserts
301,Power House Hollywood,90,A,4.0,95,$$,Cocktail Bars
304,The Munch Company,93,A,4.0,180,$,Sandwiches
305,Din Tai Fung,95,A,4.0,3453,$$,Taiwanese
306,Ellie's Cathy Bakery,94,A,3.0,49,$,Bakeries
307,Everest Burgers,97,A,4.0,376,$,American (Traditional)
308,Cholada Thai Beach Cuisine,95,A,4.0,650,$$,Thai
309,Sista Mary's Soul Food,91,A,4.0,184,$$,Soul Food
310,Seafood City Supermarket,92,A,3.5,126,$$,Grocery
311,Habibi Cafe,92,A,2.5,535,$$,Coffee & Tea
312,Uncle Bud's Kitchen,94,A,4.5,382,$,Breakfast & Brunch
313,Philly's Sandwich & Grill,98,A,3.5,80,$,Cheesesteaks
314,R Kitchen Soul Food,91,A,4.5,279,$$,American (New)
315,Bao Dim Sum House,90,A,4.0,2402,$$,Dim Sum
316,LiOrient Asian Bar & Restaurant,95,A,4.0,136,$$,Bars
318,Spumante Restaurant,97,A,4.5,544,$$,Italian
319,Depot Restaurant,90,A,4.0,272,$$$,American (New)
321,Karl Strauss Brewing Company,94,A,4.5,555,$$,Breweries
322,Zinqué,90,A,3.5,477,$$,Breakfast & Brunch
323,Cook's Tortas,97,A,4.0,2118,$$,Mexican
326,My Dung Sandwich Shop,91,A,4.0,92,$,Sandwiches
328,Bonello's New York Pizza,93,A,4.5,308,$,Pizza
329,Ordonez Mexican Restaurant,96,A,3.0,400,$$,Mexican
330,Sonoratown,90,A,4.5,388,$,Mexican
331,Mayura Indian Restaurant,90,A,4.0,932,$$,Indian
332,Sena On Myrtle,90,A,4.0,566,$$,American (New)
333,La Flor Blanca Restaurant,93,A,3.5,104,$,Salvadoran
334,QWENCH Juice Bar,93,A,3.5,128,$$,Juice Bars & Smoothies
335,Galleria Market,80,B,4.0,225,$$,Shopping Centers
336,Pho-Licious,96,A,4.0,337,$,Vietnamese
339,Blue Cow Kitchen & Bar,99,A,4.0,1181,$$,American (New)
340,Laurel Tavern,93,A,4.0,112,$$,Gastropubs
341,La Monarca Bakery,95,A,4.0,292,$,Bakeries
344,Maria's Mexican Restaurant,80,B,3.5,137,$$,Mexican
345,The Coffee Company,90,A,4.0,1225,$$,Coffee & Tea
346,The Coffee Bean & Tea Leaf,95,A,4.0,71,$,Coffee Roasteries
347,Shake Smart,96,A,4.5,62,$,Juice Bars & Smoothies
349,Quickly,95,A,4.5,137,$,Bubble Tea
350,Villa Terraza,94,A,4.5,185,$$,Italian
351,Angel City Grill,97,A,5.0,235,$,Salad
353,Half Baked Co,98,A,4.5,311,$$,Bakeries
354,Las Molenderas Restaurant,96,A,4.5,126,$,Mexican
355,The Stand,94,A,4.0,515,$$,Burgers
356,Tea Garden Cafe,96,A,3.5,81,$,Coffee & Tea
357,Porto's Bakery & Cafe,97,A,4.5,7968,$,Bakeries
358,Plush Pocket,90,A,3.5,56,$$,Pool Halls
359,Chicago For Ribs,90,A,4.0,76,$$,American (Traditional)
360,Kumi Ko,94,A,5.0,42,$$,Japanese
361,The Boiling Crab,96,A,3.5,314,$$,Seafood
362,Cafe Sole,94,A,4.5,235,$$,Italian
363,Noree Thai on Beverly,93,A,4.0,55,$$,Thai
364,Luna Grill La Canada Flintridge,97,A,4.0,344,$$,Mediterranean
365,La Que Buena Taqueria,93,A,4.0,75,$,Mexican
366,Tea Bar,81,B,3.5,470,$,Coffee & Tea
367,Señor G's Fresh & Healthy Mexican Food,92,A,4.5,573,$$,Mexican
368,Togo’s Sandwiches,90,A,2.5,104,$,Sandwiches
369,Diamond Bakery,91,A,3.0,150,$,Bakeries
370,Phoever Yum,90,A,3.0,83,$,Vietnamese
371,Taxco Fine Mexican Restaurant,90,A,3.5,158,$$,Mexican
373,Tuning Fork,95,A,4.0,607,$$,Gastropubs
374,The Baked Bear,98,A,4.5,52,$,Ice Cream & Frozen Yogurt
375,Don Gus Fine Mexican & Seafood Family Restaurant,93,A,4.5,97,$$,Mexican
376,JJ Bakery & Cafe,91,A,3.0,156,$,Bakeries
377,Pink Taco,96,A,3.5,998,$$,Mexican
379,Marisco Agua Verde Restaurant,92,A,4.0,57,$$,Mexican
380,Happy Sushi & Izakaya,92,A,3.0,44,$$,Japanese
381,Aloha Pizza & Shave Ice Company,96,A,4.5,655,$$,Pizza
382,WikiWiki Hawaiian BBQ,93,A,3.0,116,$,Hawaiian
383,Pho Hai,90,A,4.0,143,$,Vietnamese
385,California Fish Grill,91,A,4.0,369,$$,Seafood
387,China Kitchen,98,A,4.0,78,$,Chinese
390,La Cocinita,95,A,4.5,190,$,Mexican
391,Cabo Cantina,94,A,3.0,430,$$,Mexican
392,The Spot Teriyaki,94,A,4.5,161,$,Japanese
394,Osteria Mozza,96,A,4.0,2592,$$$$,Italian
396,Thai Original BBQ & Restaurant,81,B,3.5,368,$$,Thai
397,TacosWay,91,A,2.5,452,$$,Mexican
398,Mariscos Mi Lindo Nayarit,90,A,3.5,170,$$,Mexican
400,Longo Toyota,100,A,4.0,2264,NA,Car Dealers
407,Jonathan Beach Club,100,A,3.5,55,$$$$,Lounges
408,Hollywood Bowl,81,B,4.5,2222,$$,Music Venues
409,Nat's On Ventura,93,A,4.0,229,$$,American (Traditional)
410,Noodle World,95,A,3.5,352,$,Noodles
411,Wok On The Wild Side,94,A,4.0,311,$$,Chinese
412,El Gallo Bakery,91,A,4.5,193,$,Bakeries
415,Kiddos Creamery,95,A,5.0,367,$,Ice Cream & Frozen Yogurt
416,Hoke Poke,93,A,4.0,111,$$,Poke
417,Don Rogelio's Restaurant,95,A,4.5,255,$,Mexican
418,Alegro Restaurant,97,A,4.5,65,$$,Mediterranean
419,Shave It,94,A,4.5,375,$,Ice Cream & Frozen Yogurt
420,Gaam Restaurant and Lounge,90,A,3.5,968,$$,Asian Fusion
421,Wingstop,95,A,3.0,153,$$,Chicken Wings
424,Think Cafe,93,A,4.0,219,$$,American (New)
425,Dhaba Cuisine of India,94,A,3.5,237,$$,Indian
426,Ono Hawaiian BBQ,97,A,3.5,83,$$,Barbeque
427,Carnival Cruise Lines,92,A,3.0,1099,NA,Travel Services
429,Maggiano's Little Italy,91,A,4.0,1664,$$,Italian
430,My Taco,95,A,3.5,611,$,Mexican
432,Zono Sushi,92,A,4.0,208,$$,Sushi Bars
433,Los Compadres,94,A,4.0,766,$$,Mexican
434,Cook's Tortas,95,A,4.0,2118,$$,Mexican
436,Gen Korean BBQ House,90,A,3.5,675,$$,Korean
437,101 Noodle Express,90,A,3.5,517,$,Chinese
440,California Grill Express,96,A,4.0,534,$$,American (Traditional)
441,El Pescador - El Monte,96,A,3.5,225,$$,Sports Bars
442,mar'sel,90,A,4.0,436,$$$$,American (New)
444,Stonefire Grill,91,A,4.0,714,$$,American (Traditional)
445,Olive Garden Italian Restaurant,93,A,3.0,512,$$,Italian
447,The Donut Shop,97,A,4.5,75,$,Donuts
448,Parkers' Lighthouse,98,A,3.5,1525,$$$,Seafood
449,Myke's Cafe,90,A,4.0,806,$$,Cafes
450,The Village Grille,91,A,4.0,45,$,American (Traditional)
451,RIZE Thai Sushi,91,A,4.0,282,$$,Sushi Bars
452,Taipei Bistro,96,A,4.0,310,$,Taiwanese
453,The Boiling Crab,99,A,3.5,298,$$,Cajun/Creole
454,San Pedro Cafe,93,A,4.5,241,$,Diners
455,ROC Sawtelle,80,B,3.5,1598,$$,Chinese
456,Tamales House,92,A,3.5,103,$,Mexican
457,Torrance Memorial Medical Center,97,A,3.5,300,NA,Medical Centers
458,Swork Coffee,97,A,4.0,686,$$,Coffee & Tea
461,Corner Bakery Cafe,95,A,3.5,446,$,Bakeries
462,India's Grill,90,A,4.0,564,$$,Indian
464,BCD Tofu House,93,A,4.0,737,$$,Korean
465,Hungry Howie's Pizza,92,A,4.0,66,$,Pizza
466,Sunny Shine BBQ,93,A,3.5,71,$,Cantonese
470,Jumbo Wok,93,A,4.0,80,$,Chinese
471,Ruby Thai Kitchen,90,A,2.5,52,$,Thai
473,Nature's Brew,93,A,4.0,547,$,Coffee & Tea
474,Kumadori Sushi,95,A,4.0,588,$$,Sushi Bars
476,Fantasy Cakes,97,A,4.5,94,$$,Coffee & Tea
477,OMGarnachas,94,A,4.0,106,$,Mexican
478,John Sparr Tavern,98,A,4.5,124,$$,Bars
480,Redbird,96,A,4.0,1169,$$$,Cocktail Bars
481,Jade Orient Express,94,A,4.0,164,$,Chinese
482,Golden Corral,93,A,3.5,237,$$,Buffets
483,The Pub,94,A,3.5,49,$,Pizza
484,Eden Thai Cuisine,98,A,4.0,171,$,Thai
487,The Little Izaka-Ya by Katsu-Ya Sherman Oaks,96,A,4.5,508,$$,Sushi Bars
490,Champs Sports Pub,97,A,3.0,189,$$,Sports Bars
491,Tacos El Gavilan,94,A,4.0,297,$,Breakfast & Brunch
494,Eggs N Things,90,A,4.0,522,$$,Breakfast & Brunch
495,SunCafe Organic,93,A,4.5,2065,$$,Vegan
496,Canoe House,92,A,3.5,662,$$,Hawaiian
497,Pollo a La Brasa Western,90,A,4.0,729,$,Latin American
498,Royal Palace Banquet Hall,96,A,4.5,178,NA,Venues & Event Spaces
499,Oak Creek Golf Club,95,A,3.5,180,NA,Golf
500,Santa Rita Jalisco Taco Truck,92,A,4.5,60,$,Food Trucks
501,Villa Catrina,94,A,4.0,293,$$,Mexican
502,Bun Me!,95,A,4.0,754,$,Vietnamese
504,Burgerim,90,A,4.0,76,$,Burgers
505,Yo-Way,90,A,5.0,683,$,Juice Bars & Smoothies
506,Cilantro Fresh Mexican Grill,92,A,3.0,102,$,Mexican
507,Le Mervetty,96,A,4.0,168,$$,French
508,Juan Pollo,93,A,3.0,98,$,Mexican
509,Philippe the Original,98,A,4.0,5733,$,Sandwiches
510,Lenny's Deli,83,B,3.5,1032,$$,Delis
511,Robeks Juice,94,A,4.0,110,$,Juice Bars & Smoothies
512,California Pizza Kitchen at Culver Center,95,A,3.0,287,$$,Pizza
513,101 Noodle Express,90,A,3.0,189,$,Chinese
514,Kosuke,90,A,4.0,1270,$,Ramen
515,Wok Wok Express,91,A,3.0,68,$,Chinese
516,Los Amigos Mexican Grill and Cantina,92,A,3.5,85,$$,Mexican
517,Yellow Basket,94,A,3.5,87,$,Burgers
518,Premier Dessert Art,97,A,4.0,259,$,Desserts
520,SaMo Pizza,92,A,4.5,46,$,Pizza
521,Marie Callender's,90,A,3.5,125,$$,American (Traditional)
522,Class 302,93,A,3.5,2601,$,Taiwanese
524,Melody,92,A,4.0,152,$$,French
525,Great Khan's Mongolian Grill,93,A,2.5,217,$,Mongolian
526,800 Degrees Neapolitan Pizzeria,77,C,3.5,2276,$$,Pizza
529,The Bazaar by José Andrés,99,A,4.0,3633,$$$$,Spanish
530,Electric Owl,96,A,4.0,233,$$,American (New)
531,Taqueria of Hollywood,98,A,4.0,49,$,Mexican
532,Javier's Century City,91,A,3.0,596,$$$,Mexican
533,Pho VT,96,A,4.5,69,$$,Vietnamese
535,Christy's Donuts,92,A,4.0,42,$,Donuts
537,La Reyna Tacos 2#,97,A,4.5,178,$,Food Trucks
539,The Rice Street,90,A,4.0,196,$,Asian Fusion
540,SHUHARI Matcha Café,90,A,3.5,291,$,Tea Rooms
542,Colima Burgers,93,A,4.0,380,$,Burgers
544,BJ's Restaurant & Brewhouse,90,A,3.0,734,$$,American (New)
545,Quiznos,94,A,3.0,70,$,Sandwiches
546,Monja Taiker,90,A,4.0,468,$,Taiwanese
547,Sham Tseng BBQ Shop,72,C,3.0,188,$$,Chinese
548,Nature's Brew,92,A,4.0,547,$,Coffee & Tea
549,Paragon Bar & Grill,94,A,4.0,334,$$,Bars
550,King Shabu Shabu,94,A,4.5,616,$$,Japanese
551,Ciccero's Pizza,81,B,3.5,208,$,Pizza
552,Furaibo,94,A,4.0,386,$$,Chicken Wings
553,D'Amore's Pizza,96,A,3.5,386,$$,Pizza
554,SHOREbar,96,A,2.5,176,$$,Lounges
555,Havana Sandwich Company,90,A,4.0,313,$,Sandwiches
558,Laurel Point,90,A,4.0,450,$$,American (Traditional)
559,Peet's Coffee & Tea,92,A,3.5,66,$,Coffee & Tea
560,Health Nut,94,A,4.0,518,$$,Sandwiches
561,Crazy Tokyo Sushi,95,A,3.0,310,$$,Sushi Bars
562,Little Sheep Mongolian Hot Pot,90,A,3.0,481,$$,Mongolian
564,D'Argenzio Wine Tasting Room,91,A,4.5,72,$$,Wine Tasting Room
566,Malibu Eatery,96,A,3.5,217,$$,Seafood
567,D'Amore's Pizza,93,A,3.5,111,$$,Pizza
569,North End Caffe,92,A,4.0,788,$$,American (New)
570,Pane E Vino,95,A,4.0,274,$$,Italian
571,Yogurtland,95,A,4.0,171,$,Ice Cream & Frozen Yogurt
572,Las Islas Marias,85,B,3.0,76,$$,Seafood
574,The Lorenzo,95,A,3.0,537,NA,Apartments
576,Mulberry Street Pizzeria,93,A,3.5,519,$$,Pizza
577,Pat's Restaurant and Catering,91,A,4.5,155,$$$,Kosher
578,Ercoles 1101,93,A,4.0,196,$,Dive Bars
579,Meat Bowl,95,A,5.0,114,$,Chinese
580,Paloma Hollywood,90,A,4.0,71,$$$,Cocktail Bars
581,Cavitena Restaurant,86,B,4.0,75,$,Filipino
582,The Standard Station,90,A,4.0,276,$$,Sports Bars
583,Tender Greens,93,A,4.0,317,$$,American (New)
586,The Independence,95,A,4.0,587,$$,American (New)
587,Ono Hawaiian BBQ,95,A,3.5,159,$,Barbeque
588,Tacos El Tapatio,98,A,3.5,61,$,Mexican
589,Pho Ngoon,91,A,4.0,411,$,Vietnamese
590,Hook Burger,98,A,4.0,1013,$$,Burgers
