,Name,Inspection_Score,Inspection_Grade,Rating,Reviews,Price,Category
110,REDCAT,97,A,4.5,43,NA,Performing Arts
111,JINYA Ramen Bar,87,B,4.0,192,$$,Ramen
112,Mi Patria Restaurant,96,A,3.0,80,$$,Peruvian
113,MJ Cafe & Teahouse,90,A,3.0,1076,$,Coffee & Tea
114,Tea Master Matcha Cafe & Green Tea Shop,96,A,5.0,1012,$,Coffee & Tea
115,Niccolo's Hillside Pizza,90,A,3.5,112,$$,Pizza
116,Groundwork Coffee Co.,94,A,4.5,278,$$,Coffee & Tea
117,La Michoacana PLUS ice cream parlor,96,A,3.5,49,$,Ice Cream & Frozen Yogurt
118,Urth Caffé- Melrose,93,A,4.0,2613,$$,Sandwiches
119,Wings 101,94,A,4.0,45,$,Chicken Wings
120,Sharkie Poke,97,A,4.5,181,$,Seafood
121,KPB Asian Bistro,94,A,4.5,134,$,Asian Fusion
122,Mel's Fish Shack,90,A,4.0,364,$$,Seafood Markets
123,Diana's Restaurant,95,A,2.5,62,$$,Mexican
124,El Huarachito,91,A,4.5,552,$,Mexican
125,Sushi Nishi,95,A,4.0,361,$$,Japanese
126,Thai Plate Restaurant,91,A,3.5,168,$$,Thai
127,Renaud's Patisserie and Bistro,98,A,4.5,425,$$,Cafes
128,The Chicken Shack,90,A,3.5,297,$$,Peruvian
129,Bun Me!,96,A,4.0,754,$,Vietnamese
130,Meet in Paris,90,A,4.0,1369,$$,French
131,Aliki's Greek Taverna,97,A,4.5,908,$$,Greek
132,Little Bean,96,A,4.0,420,$,Shaved Ice
133,Valentino's Pizza,91,A,3.5,84,$,Pizza
134,Rose & Blanc Tea Room,97,A,4.5,62,$$,Tea Rooms
135,El 7 Mares,91,A,3.0,126,$$,Seafood
136,Juice Crafters,91,A,4.0,77,$$,Juice Bars & Smoothies
137,Tarme Mediterranean Grill,92,A,4.0,357,$$,Mediterranean
138,Zayna Flaming Grill,90,A,4.5,1032,$$,Mediterranean
139,The Venue,98,A,4.0,175,$$,Karaoke
140,Venice Bakery & Restaurant,86,B,4.0,271,$,Bakeries
141,Penelope's Cafe Books & Gallery,97,A,4.0,104,$$,Art Galleries
142,Bibigo Fresh Korean Kitchen,93,A,3.5,90,$,Korean
143,Hokkaido Seafood Buffet,90,A,3.0,791,$$,Japanese
144,Wingstop,93,A,3.5,103,$$,Chicken Wings
145,Poke Rainbow,91,A,4.0,191,$$,Poke
146,Pita Café,90,A,4.0,99,$$,Mediterranean
147,Hyperion Public,90,A,4.0,790,$$,Gastropubs
148,California Fish Grill,97,A,4.0,317,$$,Seafood
149,Maya's Restaurant,97,A,4.0,116,$,Mexican
150,Little Ethiopia Restaurant,94,A,3.5,169,$$,Ethiopian
151,Quarters Korean BBQ,96,A,4.0,2239,$$,Korean
152,Leo's Tacos Truck,94,A,4.5,1494,$,Food Trucks
153,Miyako Restaurant,90,A,3.5,150,$$,Sushi Bars
154,Daphne's,92,A,3.0,163,$,Greek
155,Wingstop,90,A,3.0,242,$,Chicken Wings
156,Rosa's La Cabana,90,A,4.0,102,$$,Mexican
157,Baked Bear,96,A,4.0,64,$,Desserts
158,Poke & More - Artesia,98,A,4.5,99,$,Hawaiian
159,Square Mixx,90,A,4.0,141,$$,Korean
160,Dunkin' Donuts,93,A,3.0,487,$,Donuts
161,Ayres Hotel Manhattan Beach/Hawthorne,96,A,4.0,163,$$,Hotels
162,Goji Tea House,80,B,4.0,133,$,Bubble Tea
163,Pokiholic,91,A,4.0,544,$,Japanese
164,Trimana,90,A,4.0,66,$,Delis
165,The Conga Room,92,A,2.5,516,$$,Dance Clubs
166,Equinox West Hollywood,94,A,3.5,314,$$$,Gyms
167,Snug Harbor,98,A,3.5,307,$$,Breakfast & Brunch
168,Bay Cities Italian Deli,90,A,4.0,4333,$,Delis
169,4th Street Market,97,A,4.0,651,$$,Food Court
170,Kech Cafe- South Bay,95,A,4.5,132,$,Mediterranean
171,Rice Yummy,94,A,3.0,70,$$,Chinese
172,Shabu Shabu House,90,A,4.0,1341,$$,Japanese
173,Fish Grill,95,A,4.0,254,$$,Seafood
174,Fosselman's Ice Cream,95,A,4.0,2324,$,Ice Cream & Frozen Yogurt
175,Roots Cafe,91,A,4.5,167,$,Cafes
176,Burger Lounge,96,A,4.0,271,$$,Burgers
177,Panda Chinese Fast Food,91,A,3.0,56,$,Chinese
178,Christy's Donuts,95,A,4.0,140,$,Restaurants
179,LA Buns & Company,93,A,3.5,124,$,Burgers
180,NORMS Restaurant,97,A,3.0,674,$$,Diners
181,Road To Seoul,97,A,4.0,3484,$$,Korean
182,Lunar Feast Bodhi Veggie Cuisine,95,A,4.0,251,$$,Vegetarian
183,Whole Foods Market,96,A,3.0,290,$$$,Grocery
184,Applebee's Grill + Bar,93,A,2.5,341,$$,American (Traditional)
185,Il Segreto Ristorante Belair,90,A,4.0,78,$$$,Italian
186,Bergamot Cafe,93,A,4.0,224,$,Coffee & Tea
187,Taco Deli,90,A,3.5,124,$,Mexican
188,Johnnie's New York Pizzeria,90,A,3.5,295,$$,Pizza
189,El Floridita,92,A,3.5,401,$$,Cuban
190,Truxton's American Bistro,94,A,4.0,1253,$$,American (New)
191,CiCi's Cafe,93,A,4.5,2922,$$,Breakfast & Brunch
192,Kreation Organic Kafe & Juicery,96,A,3.5,464,$$,Cafes
193,Prik Kee Noo Thai,90,A,4.0,73,$,Thai
194,Shibuya,98,A,4.5,598,$$$,Sushi Bars
195,China Boy Express,79,C,4.0,178,$,Chinese
196,Jersey Mike's Subs,97,A,3.5,87,$$,Sandwiches
197,Mama Petrillo's,98,A,3.5,253,$$,Italian
198,Best Fish Taco In Ensenada,92,A,4.0,2030,$,Mexican
199,Glory Days Sports Grill,90,A,3.0,276,$$,American (Traditional)
200,TRU Bowl Superfood Bar,91,A,4.0,215,$,Juice Bars & Smoothies
201,Newhall Press Room,100,A,4.5,100,$$,Wine Bars
202,The Derby,98,A,4.0,717,$$$,Steakhouses
203,Pressed Juicery,91,A,4.5,74,$$,Juice Bars & Smoothies
204,Ubon Thai Kitchen,91,A,4.0,345,$,Thai
205,Round Table Pizza,94,A,3.5,79,$$,Pizza
206,Hummus Republic,91,A,4.5,113,$$,Mediterranean
207,La Golondrina Mexican Cafe,91,A,3.5,831,$$,Mexican
208,Ernie's Burgers,91,A,4.0,81,$,Burgers
209,The Artist Pizzeria,93,A,4.0,534,$,Pizza
210,Kang Kang Food Court,83,B,3.5,635,$,Taiwanese
211,Domino's Pizza,93,A,2.0,57,$,Pizza
212,Chipotle Mexican Grill,95,A,2.0,96,$,Mexican
213,The Coffee Bean & Tea Leaf,95,A,4.0,57,$,Coffee & Tea
214,Jim's Burgers,86,B,3.5,76,$,Burgers
215,Aloha Food Factory,94,A,4.0,1072,$,Hawaiian
216,Carnitas Uruapan,90,A,4.5,119,$,Mexican
217,Sammy's Woodfired Pizza and Grill - El Segundo,91,A,3.5,557,$$,Pizza
218,House of Pastry,97,A,4.5,145,$$,Bakeries
219,Northgate Market,97,A,3.5,59,$$,Grocery
220,Pizza Beer And Wings,95,A,4.0,125,$$,Pizza
221,Shah Abbas,90,A,3.0,189,$$,Middle Eastern
222,Honeymee Westminster,92,A,4.0,280,$,Desserts
223,Power House Hollywood,90,A,4.0,95,$$,Cocktail Bars
224,The Munch Company,93,A,4.0,180,$,Sandwiches
225,Din Tai Fung,95,A,4.0,3453,$$,Taiwanese
226,Ellie's Cathy Bakery,94,A,3.0,49,$,Bakeries
227,Everest Burgers,97,A,4.0,376,$,American (Traditional)
228,Cholada Thai Beach Cuisine,95,A,4.0,650,$$,Thai
229,Sista Mary's Soul Food,91,A,4.0,184,$$,Soul Food
230,Seafood City Supermarket,92,A,3.5,126,$$,Grocery
231,Habibi Cafe,92,A,2.5,535,$$,Coffee & Tea
232,Uncle Bud's Kitchen,94,A,4.5,382,$,Breakfast & Brunch
233,Philly's Sandwich & Grill,98,A,3.5,80,$,Cheesesteaks
234,R Kitchen Soul Food,91,A,4.5,279,$$,American (New)
235,Bao Dim Sum House,90,A,4.0,2402,$$,Dim Sum
236,LiOrient Asian Bar & Restaurant,95,A,4.0,136,$$,Bars
237,Spumante Restaurant,97,A,4.5,544,$$,Italian
238,Depot Restaurant,90,A,4.0,272,$$$,American (New)
239,Karl Strauss Brewing Company,94,A,4.5,555,$$,Breweries
240,Zinqué,90,A,3.5,477,$$,Breakfast & Brunch
241,Cook's Tortas,97,A,4.0,2118,$$,Mexican
242,My Dung Sandwich Shop,91,A,4.0,92,$,Sandwiches
243,Bonello's New York Pizza,93,A,4.5,308,$,Pizza
244,Ordonez Mexican Restaurant,96,A,3.0,400,$$,Mexican
245,Sonoratown,90,A,4.5,388,$,Mexican
246,Mayura Indian Restaurant,90,A,4.0,932,$$,Indian
247,Sena On Myrtle,90,A,4.0,566,$$,American (New)
248,La Flor Blanca Restaurant,93,A,3.5,104,$,Salvadoran
249,QWENCH Juice Bar,93,A,3.5,128,$$,Juice Bars & Smoothies
250,Galleria Market,80,B,4.0,225,$$,Shopping Centers
251,Pho-Licious,96,A,4.0,337,$,Vietnamese
252,Blue Cow Kitchen & Bar,99,A,4.0,1181,$$,American (New)
253,Laurel Tavern,93,A,4.0,112,$$,Gastropubs
254,La Monarca Bakery,95,A,4.0,292,$,Bakeries
255,Maria's Mexican Restaurant,80,B,3.5,137,$$,Mexican
256,The Coffee Company,90,A,4.0,1225,$$,Coffee & Tea
257,The Coffee Bean & Tea Leaf,95,A,4.0,71,$,Coffee Roasteries
258,Shake Smart,96,A,4.5,62,$,Juice Bars & Smoothies
259,Quickly,95,A,4.5,137,$,Bubble Tea
260,Villa Terraza,94,A,4.5,185,$$,Italian
261,Angel City Grill,97,A,5.0,235,$,Salad
262,Half Baked Co,98,A,4.5,311,$$,Bakeries
263,Las Molenderas Restaurant,96,A,4.5,126,$,Mexican
264,The Stand,94,A,4.0,515,$$,Burgers
265,Tea Garden Cafe,96,A,3.5,81,$,Coffee & Tea
266,Porto's Bakery & Cafe,97,A,4.5,7968,$,Bakeries
267,Plush Pocket,90,A,3.5,56,$$,Pool Halls
268,Chicago For Ribs,90,A,4.0,76,$$,American (Traditional)
269,Kumi Ko,94,A,5.0,42,$$,Japanese
270,The Boiling Crab,96,A,3.5,314,$$,Seafood
271,Cafe Sole,94,A,4.5,235,$$,Italian
272,Noree Thai on Beverly,93,A,4.0,55,$$,Thai
273,Luna Grill La Canada Flintridge,97,A,4.0,344,$$,Mediterranean
274,La Que Buena Taqueria,93,A,4.0,75,$,Mexican
275,Tea Bar,81,B,3.5,470,$,Coffee & Tea
276,Señor G's Fresh & Healthy Mexican Food,92,A,4.5,573,$$,Mexican
277,Togo’s Sandwiches,90,A,2.5,104,$,Sandwiches
278,Diamond Bakery,91,A,3.0,150,$,Bakeries
279,Phoever Yum,90,A,3.0,83,$,Vietnamese
280,Taxco Fine Mexican Restaurant,90,A,3.5,158,$$,Mexican
281,Tuning Fork,95,A,4.0,607,$$,Gastropubs
282,The Baked Bear,98,A,4.5,52,$,Ice Cream & Frozen Yogurt
283,Don Gus Fine Mexican & Seafood Family Restaurant,93,A,4.5,97,$$,Mexican
284,JJ Bakery & Cafe,91,A,3.0,156,$,Bakeries
285,Pink Taco,96,A,3.5,998,$$,Mexican
286,Marisco Agua Verde Restaurant,92,A,4.0,57,$$,Mexican
287,Happy Sushi & Izakaya,92,A,3.0,44,$$,Japanese
288,Aloha Pizza & Shave Ice Company,96,A,4.5,655,$$,Pizza
289,WikiWiki Hawaiian BBQ,93,A,3.0,116,$,Hawaiian
290,Pho Hai,90,A,4.0,143,$,Vietnamese
291,California Fish Grill,91,A,4.0,369,$$,Seafood
292,China Kitchen,98,A,4.0,78,$,Chinese
293,La Cocinita,95,A,4.5,190,$,Mexican
294,Cabo Cantina,94,A,3.0,430,$$,Mexican
295,The Spot Teriyaki,94,A,4.5,161,$,Japanese
296,Osteria Mozza,96,A,4.0,2592,$$$$,Italian
297,Thai Original BBQ & Restaurant,81,B,3.5,368,$$,Thai
298,TacosWay,91,A,2.5,452,$$,Mexican
299,Mariscos Mi Lindo Nayarit,90,A,3.5,170,$$,Mexican
300,Longo Toyota,100,A,4.0,2264,NA,Car Dealers
301,Jonathan Beach Club,100,A,3.5,55,$$$$,Lounges
302,Hollywood Bowl,81,B,4.5,2222,$$,Music Venues
303,Nat's On Ventura,93,A,4.0,229,$$,American (Traditional)
304,Noodle World,95,A,3.5,352,$,Noodles
305,Wok On The Wild Side,94,A,4.0,311,$$,Chinese
306,El Gallo Bakery,91,A,4.5,193,$,Bakeries
307,Kiddos Creamery,95,A,5.0,367,$,Ice Cream & Frozen Yogurt
308,Hoke Poke,93,A,4.0,111,$$,Poke
309,Don Rogelio's Restaurant,95,A,4.5,255,$,Mexican
310,Alegro Restaurant,97,A,4.5,65,$$,Mediterranean
311,Shave It,94,A,4.5,375,$,Ice Cream & Frozen Yogurt
312,Gaam Restaurant and Lounge,90,A,3.5,968,$$,Asian Fusion
313,Wingstop,95,A,3.0,153,$$,Chicken Wings
314,Think Cafe,93,A,4.0,219,$$,American (New)
315,Dhaba Cuisine of India,94,A,3.5,237,$$,Indian
316,Ono Hawaiian BBQ,97,A,3.5,83,$$,Barbeque
317,Carnival Cruise Lines,92,A,3.0,1099,NA,Travel Services
318,Maggiano's Little Italy,91,A,4.0,1664,$$,Italian
319,My Taco,95,A,3.5,611,$,Mexican
320,Zono Sushi,92,A,4.0,208,$$,Sushi Bars
321,Los Compadres,94,A,4.0,766,$$,Mexican
322,Gen Korean BBQ House,90,A,3.5,675,$$,Korean
323,101 Noodle Express,90,A,3.5,517,$,Chinese
324,California Grill Express,96,A,4.0,534,$$,American (Traditional)
325,El Pescador - El Monte,96,A,3.5,225,$$,Sports Bars
326,mar'sel,90,A,4.0,436,$$$$,American (New)
327,Stonefire Grill,91,A,4.0,714,$$,American (Traditional)
328,Olive Garden Italian Restaurant,93,A,3.0,512,$$,Italian
329,The Donut Shop,97,A,4.5,75,$,Donuts
330,Parkers' Lighthouse,98,A,3.5,1525,$$$,Seafood
331,Myke's Cafe,90,A,4.0,806,$$,Cafes
332,The Village Grille,91,A,4.0,45,$,American (Traditional)
333,RIZE Thai Sushi,91,A,4.0,282,$$,Sushi Bars
334,Taipei Bistro,96,A,4.0,310,$,Taiwanese
335,The Boiling Crab,99,A,3.5,298,$$,Cajun/Creole
336,San Pedro Cafe,93,A,4.5,241,$,Diners
337,ROC Sawtelle,80,B,3.5,1598,$$,Chinese
338,Tamales House,92,A,3.5,103,$,Mexican
339,Torrance Memorial Medical Center,97,A,3.5,300,NA,Medical Centers
340,Swork Coffee,97,A,4.0,686,$$,Coffee & Tea
341,Corner Bakery Cafe,95,A,3.5,446,$,Bakeries
342,India's Grill,90,A,4.0,564,$$,Indian
343,BCD Tofu House,93,A,4.0,737,$$,Korean
344,Hungry Howie's Pizza,92,A,4.0,66,$,Pizza
345,Sunny Shine BBQ,93,A,3.5,71,$,Cantonese
346,Jumbo Wok,93,A,4.0,80,$,Chinese
347,Ruby Thai Kitchen,90,A,2.5,52,$,Thai
348,Nature's Brew,93,A,4.0,547,$,Coffee & Tea
349,Kumadori Sushi,95,A,4.0,588,$$,Sushi Bars
350,Fantasy Cakes,97,A,4.5,94,$$,Coffee & Tea
351,OMGarnachas,94,A,4.0,106,$,Mexican
352,John Sparr Tavern,98,A,4.5,124,$$,Bars
353,Redbird,96,A,4.0,1169,$$$,Cocktail Bars
354,Jade Orient Express,94,A,4.0,164,$,Chinese
355,Golden Corral,93,A,3.5,237,$$,Buffets
356,The Pub,94,A,3.5,49,$,Pizza
357,Eden Thai Cuisine,98,A,4.0,171,$,Thai
358,The Little Izaka-Ya by Katsu-Ya Sherman Oaks,96,A,4.5,508,$$,Sushi Bars
359,Champs Sports Pub,97,A,3.0,189,$$,Sports Bars
360,Tacos El Gavilan,94,A,4.0,297,$,Breakfast & Brunch
361,Eggs N Things,90,A,4.0,522,$$,Breakfast & Brunch
362,SunCafe Organic,93,A,4.5,2065,$$,Vegan
363,Canoe House,92,A,3.5,662,$$,Hawaiian
364,Pollo a La Brasa Western,90,A,4.0,729,$,Latin American
365,Royal Palace Banquet Hall,96,A,4.5,178,NA,Venues & Event Spaces
366,Oak Creek Golf Club,95,A,3.5,180,NA,Golf
367,Santa Rita Jalisco Taco Truck,92,A,4.5,60,$,Food Trucks
368,Villa Catrina,94,A,4.0,293,$$,Mexican
369,Burgerim,90,A,4.0,76,$,Burgers
370,Yo-Way,90,A,5.0,683,$,Juice Bars & Smoothies
371,Cilantro Fresh Mexican Grill,92,A,3.0,102,$,Mexican
372,Le Mervetty,96,A,4.0,168,$$,French
373,Juan Pollo,93,A,3.0,98,$,Mexican
374,Philippe the Original,98,A,4.0,5733,$,Sandwiches
375,Lenny's Deli,83,B,3.5,1032,$$,Delis
376,Robeks Juice,94,A,4.0,110,$,Juice Bars & Smoothies
377,California Pizza Kitchen at Culver Center,95,A,3.0,287,$$,Pizza
378,101 Noodle Express,90,A,3.0,189,$,Chinese
379,Kosuke,90,A,4.0,1270,$,Ramen
380,Wok Wok Express,91,A,3.0,68,$,Chinese
381,Los Amigos Mexican Grill and Cantina,92,A,3.5,85,$$,Mexican
382,Yellow Basket,94,A,3.5,87,$,Burgers
383,Premier Dessert Art,97,A,4.0,259,$,Desserts
384,SaMo Pizza,92,A,4.5,46,$,Pizza
385,Marie Callender's,90,A,3.5,125,$$,American (Traditional)
386,Class 302,93,A,3.5,2601,$,Taiwanese
387,Melody,92,A,4.0,152,$$,French
388,Great Khan's Mongolian Grill,93,A,2.5,217,$,Mongolian
389,800 Degrees Neapolitan Pizzeria,77,C,3.5,2276,$$,Pizza
390,The Bazaar by José Andrés,99,A,4.0,3633,$$$$,Spanish
391,Electric Owl,96,A,4.0,233,$$,American (New)
392,Taqueria of Hollywood,98,A,4.0,49,$,Mexican
393,Javier's Century City,91,A,3.0,596,$$$,Mexican
394,Pho VT,96,A,4.5,69,$$,Vietnamese
395,Christy's Donuts,92,A,4.0,42,$,Donuts
396,La Reyna Tacos 2#,97,A,4.5,178,$,Food Trucks
397,The Rice Street,90,A,4.0,196,$,Asian Fusion
398,SHUHARI Matcha Café,90,A,3.5,291,$,Tea Rooms
399,Colima Burgers,93,A,4.0,380,$,Burgers
400,BJ's Restaurant & Brewhouse,90,A,3.0,734,$$,American (New)
401,Quiznos,94,A,3.0,70,$,Sandwiches
402,Monja Taiker,90,A,4.0,468,$,Taiwanese
403,Sham Tseng BBQ Shop,72,C,3.0,188,$$,Chinese
404,Paragon Bar & Grill,94,A,4.0,334,$$,Bars
405,King Shabu Shabu,94,A,4.5,616,$$,Japanese
406,Ciccero's Pizza,81,B,3.5,208,$,Pizza
407,Furaibo,94,A,4.0,386,$$,Chicken Wings
408,D'Amore's Pizza,96,A,3.5,386,$$,Pizza
409,SHOREbar,96,A,2.5,176,$$,Lounges
410,Havana Sandwich Company,90,A,4.0,313,$,Sandwiches
411,Laurel Point,90,A,4.0,450,$$,American (Traditional)
412,Peet's Coffee & Tea,92,A,3.5,66,$,Coffee & Tea
413,Health Nut,94,A,4.0,518,$$,Sandwiches
414,Crazy Tokyo Sushi,95,A,3.0,310,$$,Sushi Bars
415,Little Sheep Mongolian Hot Pot,90,A,3.0,481,$$,Mongolian
416,D'Argenzio Wine Tasting Room,91,A,4.5,72,$$,Wine Tasting Room
417,Malibu Eatery,96,A,3.5,217,$$,Seafood
418,D'Amore's Pizza,93,A,3.5,111,$$,Pizza
419,North End Caffe,92,A,4.0,788,$$,American (New)
420,Yogurtland,95,A,4.0,171,$,Ice Cream & Frozen Yogurt
421,Las Islas Marias,85,B,3.0,76,$$,Seafood
422,The Lorenzo,95,A,3.0,537,NA,Apartments
423,Mulberry Street Pizzeria,93,A,3.5,519,$$,Pizza
424,Pat's Restaurant and Catering,91,A,4.5,155,$$$,Kosher
425,Ercoles 1101,93,A,4.0,196,$,Dive Bars
426,Meat Bowl,95,A,5.0,114,$,Chinese
427,Paloma Hollywood,90,A,4.0,71,$$$,Cocktail Bars
428,Cavitena Restaurant,86,B,4.0,75,$,Filipino
429,The Standard Station,90,A,4.0,276,$$,Sports Bars
430,Tender Greens,93,A,4.0,317,$$,American (New)
431,The Independence,95,A,4.0,587,$$,American (New)
432,Ono Hawaiian BBQ,95,A,3.5,159,$,Barbeque
433,Tacos El Tapatio,98,A,3.5,61,$,Mexican
434,Pho Ngoon,91,A,4.0,411,$,Vietnamese
435,Hook Burger,98,A,4.0,1013,$$,Burgers
436,"The Ritz-Carlton, Marina del Rey",80,B,3.5,437,$$$,Hotels
437,Bricks & Scones,97,A,4.0,1272,$$,Desserts
438,My Hero Submarine Sandwich Shoppe,97,A,4.0,285,$,Sandwiches
439,Dickey's Barbecue Pit,82,B,3.5,158,$$,Barbeque
