Restaurant_Name,Rating,Review_Count,Price,Score,Grade
88 Tea Bar & Cafe,3.0,90,$,92,A
J Fish Market,4.0,44,$$,90,B
Venice Pizzeria,4.0,52,$,93,A
Awesome Thai,4.0,308,$,97,A
Eat at Rudy's,4.0,102,$$,94,A
Rancheritas Mexican Grill,4.0,115,$,90,B
Bloomingdale's,3.0,157,$$$,94,A
Irwindale Speedway,4.0,115,na,98,A
Conrad's Restaurant,3.0,446,$$,90,B
New India's Oven,3.5,313,$$,97,A
Greco's New York Pizzeria,2.5,240,$,97,A
Valentino's New York Pizza,3.5,109,$,97,A
Domino's Pizza,2.0,133,$,94,A
"Chibugan, Lechon At Ethan's Restaurant",4.0,39,$,78,C
Panelas Brazil Cuisine,4.5,189,$$,93,A
Menchie's South Pasadena,4.0,149,$,94,A
Halal Kitchen Cafe,4.5,114,$$,94,A
Indra Restaurant,3.5,194,$$,91,A
Flavors of Thai,4.0,508,$,85,B
Zero Degrees Custard and Italian Ice,4.5,192,$,97,A
99 Ranch Market,3.5,179,$$,96,A
Hugo's,4.0,1193,$$,91,A
Mi Casa,4.0,289,$$,91,A
Little Sister,4.0,1222,$$,95,A
Ondal 2,4.0,432,$$,97,A
GOMEZ SNAP E TACO,3.5,51,$,97,A
Denny's,2.5,63,$$,94,A
The Sandwich Joint,4.5,173,$,90,B
Mariscos Jalisco,4.5,695,$,95,A
Seoul Soondae,4.0,93,$,95,A
Miura,4.0,130,$$$,92,A
Café Roulé,4.0,695,$,91,A
Viva Madrid!,4.0,1145,$$,100,A
Father's Office,4.0,2997,$$,92,A
Lucques,4.0,1089,$$$,93,A
The Rustic Spoon,4.5,1262,$$,98,A
Dingle Berries Coffee & Tea,4.5,879,$,97,A
Papa John's Pizza,2.0,40,$,93,A
Era Billiards Club,4.0,49,$,98,A
The Bottle Inn Hermosa,4.0,255,$$,91,A
Burritos El Chavo,3.0,88,$,96,A
Carmine's Restaurant & Bar,4.0,167,$$$,91,A
Sushi Ai,4.0,44,$$,97,A
Jerry's Famous Deli,2.5,725,$$,94,A
Little Mexico Place,3.5,48,$,90,B
Rita's Italian Ice,4.5,134,$,95,A
Target,2.5,329,$$,96,A
Samba Brazilian Steakhouse,3.5,1506,$$$,90,B
Ameci Pizza & Pasta - Winnetka,4.0,122,$$,93,A
La Michoacana Helados Y Paletas Newhall,4.5,58,$,96,A
Shakey's Pizza Parlor,3.5,205,$$,91,A
The Wee Chippy,4.5,198,$$,92,A
Scoops,4.5,2341,$,94,A
WaBa Grill,3.0,89,$,97,A
Joe's Crab Shack,2.5,615,$$,91,A
Media Noche Cuban Cuisine,4.5,718,$$,82,B
Pizza Place California,3.5,303,$$,90,B
Pho Ha,3.0,280,$,91,A
Frutibionicos,4.0,44,$,94,A
VN Cuisine,3.5,290,$,90,B
Los Tapatios Restaurant,3.5,43,$,95,A
Tea Station,3.0,562,$$,90,B
Feu Pho Kitchen,4.5,420,$$,92,A
La Casita Olvera,4.5,575,$$,90,B
The Larder at Burton Way,4.0,258,$$,90,B
The Daily Harvest Cafe & Juicery,4.0,207,$$,100,A
Craig's,4.0,788,$$$,90,B
Abhiruchi Grill,4.5,122,$$,80,C
Delhi Bites,3.5,158,$$,90,B
K Bakery,4.0,109,$,93,A
The Griddle Cafe,4.0,5406,$$,96,A
Pepe's Finest Mexican Food,3.5,308,$,98,A
Carnaby St. Fish & Chips,4.0,77,$,95,A
Fresh Brothers,3.5,419,$$,95,A
Katsuya Hollywood,3.5,1764,$$$,94,A
Yum Cha Cafe,3.0,134,$,95,A
Phang Roy Thai,4.5,312,$,92,A
Alice's Burgers,3.5,131,$,96,A
Mirak,4.0,71,$$,91,A
The yogurt shoppe,4.5,53,$$,93,A
El Amanecer Salvadoreno,4.0,44,$$,93,A
Heart N Soul,4.5,67,$,99,A
Half and Half Tea Express,3.5,279,$,97,A
Branch Office,4.0,44,$,90,B
Burger Depot,2.5,57,$,93,A
JAMZ Creamery,4.5,180,$,94,A
Dan's Super Subs,4.5,1012,$,97,A
Pho So 9,3.5,257,$,80,C
Menchie's Frozen Yogurt,3.5,132,$,98,A
Haeundae Seafood Restaurant,3.5,61,$$,90,B
The Halal Guys,3.5,338,$,94,A
Amorelia Mexican Cafe,4.0,691,$$,94,A
Shalimar Cuisine Of India,4.0,328,$$,93,A
Hyatt Regency Valencia,3.0,211,$$$,98,A
Daily Grill,3.5,308,$$,94,A
JJ Bakery,3.5,726,$,95,A
El Picante,3.5,216,$$,98,A
La Taquiza,4.0,624,$,92,A
The Loft,3.5,678,$,90,B
Sun Ha Jang,3.5,192,$$,95,A
Monterey Hill,3.0,133,$$,93,A
Big Dean's Oceanfront Café,4.0,480,$,94,A
Mohawk Bend,4.0,2205,$$,91,A
China Express,4.0,47,$,85,B
SoDam DooRi Restaurant,3.5,87,$,97,A
TaRa Cafe & Grill,4.5,256,$,94,A
Tatang,4.5,200,$$,96,A
HanKook Supermarket,4.0,184,$$,95,A
Malibu Yogurt & Ice Cream,3.5,158,$,98,A
Kimukatsu,3.5,429,$$,90,B
Wood Ranch BBQ & Grill,4.0,780,$$,99,A
New Flooky's Restaurant,4.0,127,$,90,B
Softcream,4.5,194,$$,97,A
Nothing Bundt Cakes,4.5,169,$$,99,A
Digitech Solutions,4.5,41,na,94,A
Las Chinampas,4.5,161,$,90,B
Pizza Pasha,4.0,88,$$,95,A
Old Sicily Pizza,4.5,450,$,95,A
W Hollywood,3.0,813,$$$,98,A
Cold Stone Creamery,3.5,72,$$,95,A
Okipoki,4.5,339,$$,96,A
Le Chene French Cuisine,3.5,245,$$$,95,A
JiST Cafe,4.0,1034,$$,92,A
Trejos Tacos - La Brea,3.5,1396,$$,96,A
Martino's Bakery,4.0,388,$,93,A
Fish N More Seafood & Grill,4.0,223,$$,90,B
Robinas Indian Cuisine,3.5,248,$$,93,A
Day Day's BBQ & Waffle House,4.5,801,$$,94,A
Mickey Fine Grill,4.0,109,$,90,B
Westlake Brewing & Libations,4.0,93,$$,95,A
Taqueria El Jefe,4.0,65,$,94,A
Dim Sum Express,3.5,444,$,92,A
Zumayas Mexican Cafe,4.0,313,$$,92,A
Master Fresh Donuts,4.5,47,$,96,A
ROC Sawtelle,3.5,1598,$$,90,B
Donuts Galore,4.5,52,$,97,A
Q Sushi,4.0,281,$$,98,A
Mayer's Bakery,3.0,119,$$,90,B
Brite Spot,3.0,1051,$$,90,B
Border Grill Downtown LA,3.5,923,$$,95,A
Gwen Butcher Shop,4.0,431,$$$$,90,B
Sushi & Roll,3.5,176,$$,97,A
French Market Cafe,4.0,522,$$,95,A
Which Wich,2.5,41,$$,96,A
BALEENkitchen,3.5,604,$$,92,A
Boba Master,4.0,143,$,99,A
Yogurtland,3.5,49,$,96,A
Plants & Lovers,4.0,104,$$,99,A
La Fonda Antioquena,4.0,371,$$,90,B
The Buffalo Spot,3.0,57,$$,99,A
Hilton Los Angeles/Universal City,3.5,655,$$$,95,A
Jugos Azteca,4.0,315,$,93,A
Nina's Cafe,4.5,359,$,92,A
Daikokuya Little Tokyo,4.0,7856,$$,96,A
Hot Pot Land,4.0,45,$$,92,A
Pho Saigon,3.5,165,$,90,B
The Falls,4.0,523,$$,95,A
Thai Me Upp,3.5,464,$$,91,A
Old Place Restaurant,4.5,893,$$,95,A
Wendy's Donuts,3.5,55,$,98,A
Schwartz Bakery,2.5,95,$$,92,A
Tam's Burgers No 7,4.5,40,$,94,A
Cypress Best Burgers,3.5,100,$,96,A
Vermont Karaoke And Billlards,3.0,86,$$,92,A
Minibar Hollywood,4.5,47,$$,99,A
Melody,4.0,152,$$,92,A
The Cork,4.0,191,$$,94,A
Islands Fine Burgers & Drinks,3.5,353,$$,97,A
Papa John's Pizza,2.0,53,$$,97,A
Peet's Coffee & Tea,3.5,66,$,93,A
E.B.'s Beer and Wine,4.0,54,$$,97,A
"Piencone Pizzeria, Creamery & Pub",4.0,153,$$,96,A
Resident,4.0,322,$$,96,A
Hollywood Pies,4.0,830,$$,90,B
Seafood Palace,3.5,64,$$,76,C
Ramen Yamadaya,4.0,1403,$,95,A
El Appetiz,4.0,172,$$,95,A
Swirlz Soft Serve Parlor,4.0,40,$$,98,A
Yard House,3.5,1275,$$,97,A
Lock & Key Social Drinkery and KiTCHEN,4.0,1363,$$,93,A
Stone Grill,4.0,377,$$,93,A
The Den on Sunset,4.0,554,$$,93,A
Valintina Pizza,4.0,80,$,96,A
Shaherzad,3.5,500,$$,91,A
Whole Foods Market,3.5,96,$$,98,A
Delancey,4.0,496,$$,92,A
Carnitas Loya Fast Food,4.0,84,$,93,A
Howling Juice,5.0,98,$$,90,B
Golden Bull Restaurant,4.0,132,$$,96,A
Grunions Sports Bar & Grill,4.0,157,$$,90,B
Panda Express,2.5,52,$,97,A
Newport Seafood Restaurant,4.0,2584,$$,91,A
CoCo Fresh Tea & Juice,4.0,257,$,98,A
Tere's Mexican Grill,4.5,173,$$,90,B
The Coffee Bean & Tea Leaf,3.5,88,$,90,B
Gauchos Village,3.5,888,$$$,91,A
The Kickin' Crab,3.5,236,$$,94,A
The Irish Times Pub & Restaurant,4.0,219,$$,91,A
Javier's Century City,3.0,596,$$$,91,A
Red Ribbon Bakeshop,4.0,98,$,95,A
Big Pop's BBQ and Grill,4.0,187,$$,98,A
NUDA Juice & Wellness Shop,4.5,162,$$,93,A
Great Khan Mongolian BBQ,3.0,48,$,91,A
Da Jeong Korean Cuisine,4.5,58,$$,81,B
Tempura Endo,4.0,50,$$$$,85,B
Tommy's Original World Famous Hamburgers,4.0,1142,$,95,A
Starbucks,2.5,47,$$,92,A
Yokohama Sushi,3.0,305,$$,90,B
Boba Bear,4.0,337,$$,90,B
Rose & Blanc Tea Room,4.5,61,$$,97,A
Chios Peruvian Grill,4.0,396,$$,91,A
O'Briens Irish Pub,4.0,314,$$,92,A
Alaska Seafood,4.5,90,$$,98,A
Denny's,2.5,204,$$,96,A
Goody's Pizza & Chicken,3.0,90,$,95,A
Picasso's Cafe,3.5,118,$$,97,A
Toscana,4.0,257,$$$,95,A
Ding Tea Hacienda,4.0,79,$,93,A
Denny's,2.0,144,$$,93,A
Xtra Bionicos Allexis,4.5,57,$,90,B
Mr BBQ Grill,3.5,190,$$,95,A
KC's Crepes Cafe,4.0,722,$,95,A
Fuji Sushi & Rolls,3.5,275,$$,90,B
Bob's Market,4.0,192,$$,97,A
Carl's Jr Green Burrito,2.5,44,$,94,A
King Taco,3.0,507,$,96,A
1st Street Burgers,3.5,67,$,91,A
Hisaya Kyoto Chestnuts Cafe,4.0,41,$$,97,A
The Malibu Cafe,3.5,1794,$$,95,A
CoCo Fresh Tea and Juice,3.5,87,$,90,B
Red Rock-Sawtelle,4.0,66,$$,85,B
Phat Noodles,4.5,105,$,98,A
Honeyfish Poke,3.5,356,$$,97,A
Midori Sushi,3.5,966,$$,94,A
Kanpai Japanese Sushi Bar & Grill,4.0,1340,$$$,94,A
Los Angeles International Airport - LAX,2.5,5755,na,76,C
Hokkaido Seafood Buffet,3.0,791,$$,90,B
Mariscos Sol Y Mar,2.5,54,$$,95,A
Co-opportunity Market & Deli,4.0,63,$$,96,A
Panda Express,2.5,43,$$,95,A
Cocohodo,4.0,199,$,93,A
P.F. Chang's,3.0,474,$$,81,B
Break Room 86,3.0,522,$$,90,B
Chipotle Mexican Grill,3.0,166,$,95,A
Abby's Diner,4.0,203,$,94,A
El Torito,3.5,233,$$,73,C
Tortas Sinaloa,3.5,255,$,96,A
Creme De La Crepe - Redondo Beach,4.0,589,$$,82,B
Luau Larry's,3.5,470,$$,86,B
Acapulco Mexican Restaurant Y Cantina,3.5,627,$$,94,A
Vince's Pizza and Grill,3.5,74,$$,99,A
Pico Kosher Deli,3.5,202,$$,92,A
Lakewood Golf & Country Club,3.0,94,na,94,A
Mongolian Hot Grill,3.5,101,$,93,A
90 West Lounge,4.5,115,$,96,A
Boran Thai Restaurant,4.0,217,$,96,A
Torimatsu,4.0,146,$$$,91,A
The Pie Hole,3.5,119,$$,94,A
O Jang Dong,4.0,282,$$,96,A
Poké Bar,4.5,97,$$,95,A
Knockouts Gentlemen's Club,3.0,74,$$,95,A
Domino's Pizza,2.5,91,$,96,A
It's A Grind Coffee House,4.5,145,$,94,A
Equinox Marina Del Rey,3.5,206,$$$,91,A
It's Thai Hometaurant,3.5,493,$$,94,A
Donut King,4.0,43,$,94,A
Piccolo Paradiso,4.0,183,$$$,93,A
Tender Greens,3.5,153,$$,90,B
Oak Tree Lanes Bowling and Sports Bar,3.5,192,$$,92,A
Chyn King,3.0,255,$$,90,B
République,4.0,4440,$$,91,A
Diamond Palace Chinese Seafood Restaurant,3.5,258,$$,93,A
Virgin Atlantic,3.0,87,na,93,A
Durango's Restaurant,3.0,98,$$,91,A
Sushi Ye,4.5,229,$$,98,A
Book Sae Tong,4.5,45,$$,90,B
Sushi Danku,4.5,139,$$,92,A
Ben & Jerry's,2.5,46,$,97,A
Tamales Los Angeles,4.5,54,$,90,B
Il Tramezzino - Beverly Hills,4.0,532,$$,96,A
Inti Restaurant,4.5,255,$$,95,A
Fun Fish Market,3.0,108,$$,99,A
New Mandarin Noodle Deli,3.5,183,$,90,B
An Indian Affaire,4.5,437,$$,97,A
Aloha Pizza & Shave Ice Company,4.5,655,$$,96,A
Howlin' Ray's,4.5,4300,$$,95,A
Pig 'n Whistle,3.0,683,$$,92,A
Yoshida,4.0,664,$$$,92,A
Asha Indian Restaurant,4.5,454,$$,97,A
Faith & Flower,4.0,2155,$$$,90,B
Sticky Rice,4.0,797,$$,94,A
Szechuwan Garden,3.0,223,$$,92,A
The Alumni Sports Restaurant,4.5,82,$,95,A
Kusina Filipina,3.5,218,$$,81,B
Thailand House,3.5,53,$,94,A
Han Bat Shul Lung Tang,4.5,1905,$,80,C
Redbird,4.0,1169,$$$,99,A
Sáu Can Tho Vietnamese Kitchen,4.0,73,$$,90,B
Mr. Kabob,4.0,577,$$,83,B
Donahoo's Golden Chicken,4.0,541,$,96,A
The Wine Cave,4.0,101,$$,94,A
Bebinca,3.5,85,$,92,A
Carlo's Bake Shop,2.5,193,$$,96,A
Giulia,4.0,235,$$,98,A
Asia Buffet,2.5,152,$$,80,C
Sam's Pizza,4.0,107,$,97,A
Sarita's Pupuseria,4.0,614,$,94,A
Mike's Original Diner,3.5,155,$$,96,A
Greenbelt,4.0,305,$$,92,A
Phillips Ranch Health Bar,4.0,270,$,95,A
Tacos Delta,4.0,533,$,95,A
Blue Bottle Coffee,3.5,254,$$,95,A
TacosWay,2.5,452,$$,91,A
Alex Theatre,4.0,95,na,94,A
Mayas Tacos Market,4.0,146,$,90,B
Whole Foods Market,3.0,289,$$$,99,A
The Riviera Country Club,4.5,59,na,95,A
House Of Boba,4.0,40,$,90,B
Shanghailander Palace,3.0,48,$$,80,C
Calamigos Ranch,4.5,228,na,95,A
Movita Juice Bar,4.5,76,$$,99,A
Wienerschnitzel,2.5,41,$,92,A
Light & Healthy Sushi Bar,4.0,190,$$,100,A
Waterworks Aquatics Pasadena,4.5,352,na,97,A
Stolichnaya Bakery,3.5,153,$,85,B
Nuevo San Miguel,3.0,196,$,81,B
The Whole Wheatery,4.0,136,$$,97,A
Madre Oaxacan Restaurant and Mezcaleria,4.0,699,$$,90,B
Douglas Drive-In,4.0,40,$,96,A
Cinemark Playa Vista and XD,3.5,318,na,97,A
Casita Lopez,4.0,74,$,99,A
Rock & Brews - El Segundo,4.0,1235,$$,90,B
Ginger Thai Cuisine,4.0,199,$$,95,A
Tea Republic,3.5,347,$,97,A
Patra Burgers On Sunset,3.5,131,$,96,A
Ameci Pizza Kitchen,4.5,68,$,97,A
Mr Boba,4.0,118,$,81,B
Rock Store,4.0,98,$$,96,A
Woodland Hills Market,3.5,131,$$,95,A
Norm's Famous Charbroiled Hamburgers,3.5,276,$,96,A
La Flor Blanca Restaurant,4.0,49,$,94,A
Potato Corner,4.0,236,$,94,A
Kinza Sushi,4.5,530,$$,90,B
Niko Niko Sushi,4.0,295,$$,95,A
Red Ribbon Bakeshop,3.5,77,$,98,A
Cafe Dulce,4.0,2025,$,96,A
Rock House Sliders,4.0,146,$,92,A
California Fish Grill,4.0,750,$$,98,A
Astro Burger,4.0,664,$,94,A
Bäco Mercat,4.0,2453,$$,93,A
Hotel Casa 425,3.5,55,$$,96,A
Red Maple Cafe,4.5,422,$$,95,A
Ray's Tepeyac,4.0,393,$$,96,A
La Bamba Island Cuisine,4.0,526,$$,95,A
Full O' Life,4.0,101,$$,97,A
Tentenyu Ramen - Culver City,3.5,152,$$,90,B
Bagelicious,3.0,66,$,91,A
Tacoteca,3.5,233,$$,90,B
Trimana Grill,4.0,116,$,94,A
V Cafe,4.0,178,$$,94,A
Indochine Vien,3.5,345,$$,92,A
Curry House,3.5,591,$$,91,A
Larry's Chili Dog,4.5,366,$,97,A
Gourmet 88 Burbank,3.5,512,$$,92,A
Las Segovias Nicaraguan Restaurant,4.0,83,$$,93,A
Jersey Mike's Subs,3.5,82,$,97,A
Kote Dae Ji Korean BBQ,2.5,155,$$,90,B
KOBUNGA,4.5,119,$$,97,A
The Habit Burger Grill,3.5,188,$,95,A
Café de Olla,4.5,1493,$$,97,A
Deja Vu Showgirls,3.0,66,$$,97,A
The Desert Room,4.0,57,$,92,A
Carl's Jr,2.0,98,$,92,A
Phoenix Food Boutique,3.5,403,$,91,A
Link N Hops,4.0,421,$$,95,A
Walmart Supercenter,3.0,110,$,99,A
Electric Owl,4.0,233,$$,96,A
Chipotle Mexican Grill,2.5,266,$,96,A
Metapan Restaurant,3.5,98,$,95,A
Boardner's,4.0,411,$$,94,A
Saddle Peak Lodge,4.0,594,$$$$,94,A
Love Baked Wings,4.0,323,$$,96,A
Vons,3.0,138,$$,98,A
Manhattan Bagel,3.0,108,$,95,A
Shawarma Land,4.0,130,$,90,B
Metro Freeway Service Patrol - 511,4.5,164,na,85,B
Coronados Mexican Restaurant & Bar,3.5,247,$$,78,C
Universal Bar & Grill,3.0,94,$,94,A
Hungry Howie's Pizza,4.0,66,$,92,A
Beachwood Cafe,3.5,394,$$,94,A
Spin the Bottle Wine Studio,4.5,74,$$,98,A
Tacos and Fries,4.0,53,$,95,A
Swanya Thai Cuisine,3.5,321,$$,90,B
Kali Restaurant,4.5,410,$$$,95,A
Domino's Pizza,2.5,70,$,94,A
Cactus Coffee,4.5,133,$,96,A
The Arsenal,4.0,727,$$,96,A
Quality Seafood,4.0,1188,$$,90,B
Roberta's Village Inn,4.0,183,$,94,A
Uncle Stavros,3.5,115,$$,95,A
Grace Cafe,4.5,82,$,97,A
Eagle LA,4.0,127,$,95,A
Honeyboba,3.0,221,$,84,B
Satdha Plant-Based Thai Kitchen,4.5,647,$$,92,A
Versailles,4.0,1378,$$,93,A
Edwards West Covina Stadium 18,3.0,355,na,99,A
The Honor Bar,4.5,1411,$$,93,A
Valentino's Pizza,3.5,84,$,91,A
M Street Kitchen,3.5,1166,$$,86,B
Burgers and All,4.0,67,$,97,A
Flame Broiler,3.0,120,$,93,A
Mandarin Island,3.5,291,$$,91,A
Hibachi Super Buffet,2.5,212,$$,91,A
Enterprise Fish,3.5,1760,$$,90,B
Gourmet Romano,4.5,101,$$,96,A
Big Jim's Donuts,4.0,67,$,94,A
La Fogata Mexican Restaurant,4.0,619,$,95,A
Lum-Ka-Naad,3.5,315,$$,91,A
Jersey Mike's Subs,3.5,99,$$,98,A
The Cue Ball,3.0,100,$$,97,A
Avolio's Italian Restaurant,4.0,367,$$,94,A
Chick-fil-A,4.0,463,$,98,A
Tocaya Organica - Santa Monica,4.0,322,$$,94,A
Rosa's Restaurant,4.0,204,$,92,A
Amazing Siam Thai Restaurant,4.5,623,$$,95,A
Jersey Mike's Subs,3.0,40,$,96,A
Fruit Revolution,4.5,113,$,96,A
Anarbagh Indian Cuisine,4.5,1194,$$,96,A
Velvet Margarita,4.0,1126,$$,98,A
Sonic Drive-In,2.5,226,$,97,A
Button Mash,4.0,521,$$,94,A
The Habit Burger Grill,3.5,161,$,97,A
Yellow Vase,3.0,297,$$,94,A
SIR Pizza'n'chicken,4.0,192,$,91,A
Metro Los Angeles,2.5,127,na,93,A
Tijuana's Tacos,4.0,693,$,94,A
Fonda Don Chon,4.5,1592,$$,90,B
Sweet Lady Jane Bakery,3.5,603,$$,90,B
Starbucks,2.0,53,$,100,A
The Barrel,3.5,129,$,84,B
Round Table Pizza,4.0,126,$$,98,A
Los Tres Cochinitos Restaurant,4.5,136,$,93,A
Gungjung Sulrungtang,3.5,148,$$,90,B
Kreation Organic Juicery,4.5,162,$$,96,A
Second City Bistro,3.5,305,$$,90,B
Uncle Yu's Indian Theme Restaurant,3.5,629,$$,90,B
California Roll Factory,4.0,623,$$,92,A
The Capri Italian Restaurant,4.0,495,$$,93,A
Bernadette's,4.5,53,$$,98,A
Foothill Cinema 10,3.5,172,na,97,A
