ACTIVITY DATE,OWNER NAME,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE,FULL ADDRESS
2018-06-26,GREEN OLIVE CORP,FA0224119,GREEN COTTAGE RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,19563 VENTURA BLVD,TARZANA,91350,92,A,"19563 VENTURA BLVD, TARZANA, CA 91350"
2018-07-19,"7TH STREET BISTRO, LP",FA0174137,CASSIA RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1314 7TH ST,SANTA MONICA,90401,94,A,"1314 7TH ST, SANTA MONICA, CA 90401"
2018-06-07,AMERICAN GOLF CORPORATION,FA0032202,SCHOLL CYN GOLF COURSE NSACK,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,3800 E GLENOAKS BLVD,GLENDALE,91206,94,A,"3800 E GLENOAKS BLVD, GLENDALE, CA 91206"
2018-08-28,KEIKO GRILL INC.,FA0177497,KEIKO GRILL,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3650 MARTIN LUTHER KING JR BLVD STE 132,LOS ANGELES,90005,90,A,"3650 MARTIN LUTHER KING JR BLVD STE 132, LOS ANGELES, CA 90005"
2018-03-19,SENI CORPORATION,FA0162923,SCHOONERVILLE,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,26254 BOUQUET CANYON RD,SAUGUS,91350-2645,95,A,"26254 BOUQUET CANYON RD, SAUGUS, CA 91350-2645"
2018-06-19,ROLL & BOWL USC. INC,FA0260109,R & B ROLL & KATSU,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3335 S FIGUEROA ST # L,LOS ANGELES,90007,92,A,"3335 S FIGUEROA ST # L, LOS ANGELES, CA 90007"
2018-04-12,AYUMI TANAKA,FA0202735,M & A AROMA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3680 WILSHIRE BLVD STE 301,LOS ANGELES,90010,87,B,"3680 WILSHIRE BLVD STE 301, LOS ANGELES, CA 90010"
2018-05-23,OSAMU AKAHOSHI,FA0222797,SUSHI RESTAURANT TAIHEI,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2195 S GARFIELD AVE,MONTEREY PARK,91754-7236,92,A,"2195 S GARFIELD AVE, MONTEREY PARK, CA 91754-7236"
2018-05-02,SLOOPY'S INC,FA0033519,SLOOPY'S BEACH CAFE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,3416 HIGHLAND AVE,MANHATTAN BEACH,90266,90,A,"3416 HIGHLAND AVE, MANHATTAN BEACH, CA 90266"
2018-04-16,"PANDHER, MANJIT S",FA0049803,SUBWAY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,9047 WOODMAN AVE,PACOIMA,91331,92,A,"9047 WOODMAN AVE, PACOIMA, CA 91331"
2018-06-21,BLARNEY COVE LOUNGE INC,FA0178347,THE RABBIT HOLE,ACTIVE,RESTAURANT (31-60) SEATS LOW RISK,22105 ROSCOE BLVD,CANOGA PARK,91304,92,A,"22105 ROSCOE BLVD, CANOGA PARK, CA 91304"
2018-04-12,AMERICAN LEGION PALM POST348,FA0006366,AMERICAN LEGION PALM POST348,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,38030 E 6TH ST E,PALMDALE,93550,99,A,"38030 E 6TH ST E, PALMDALE, CA 93550"
2018-07-19,IN SPRING WOK,FA0171890,CHINA WOK,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,9110 SEPULVEDA BLVD,NORTH HILLS,91343,92,A,"9110 SEPULVEDA BLVD, NORTH HILLS, CA 91343"
2018-09-27,KIM PENG,FA0172401,MISS DONUT & BAKERY,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1871 PACIFIC COAST HWY,LOMITA,90717-2721,91,A,"1871 PACIFIC COAST HWY, LOMITA, CA 90717-2721"
2018-04-20,THE PARK'S FINEST LLC,FA0051650,THE PARK'S FINEST,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,1267 W TEMPLE ST,LOS ANGELES,90026,94,A,"1267 W TEMPLE ST, LOS ANGELES, CA 90026"
2018-08-01,"ERZER GROUP, LLC",FA0166320,THE PIZZERIA FACTORY,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,19755 VANOWEN ST # A4,WINNETKA,91306,91,A,"19755 VANOWEN ST # A4, WINNETKA, CA 91306"
2018-07-26,CJMA GROUP LLC,FA0248700,GALAXY SPORT BAR,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,656 S SUNSET AVE,WEST COVINA,91790,96,A,"656 S SUNSET AVE, WEST COVINA, CA 91790"
2018-07-27,JUNG WOON KIM,FA0166492,THANK U PHO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,3522 W 8TH ST #B,LOS ANGELES,90005,92,A,"3522 W 8TH ST #B, LOS ANGELES, CA 90005"
2018-01-09,BBD INVESTMENTS INC.,FA0162779,LUCKY LIZARD,ACTIVE,RESTAURANT (31-60) SEATS LOW RISK,15646 LEFFINGWELL RD,WHITTIER,90604,100,A,"15646 LEFFINGWELL RD, WHITTIER, CA 90604"
2018-05-03,DAMORES OF POINT DUME INC.,FA0017630,D'AMORES NATURALLY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,29169 HEATHERCLIFF RD STE #104,MALIBU,90265,94,A,"29169 HEATHERCLIFF RD STE #104, MALIBU, CA 90265"
2018-08-16,WILSHIRE COUNTRY CLUB,FA0041111,WILSHIRE COUNTRY CLUB,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,301 N ROSSMORE AVE,LOS ANGELES,90004,95,A,"301 N ROSSMORE AVE, LOS ANGELES, CA 90004"
2017-12-21,VICTORIA CARTAJENA,FA0167870,VICKY'S BAR AND RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2302 W ROSECRANS AVE,GARDENA,90249,80,B,"2302 W ROSECRANS AVE, GARDENA, CA 90249"
2018-07-11,"ANGIU, LLC.",FA0011963,CAFE SOLE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,1929 W VERDUGO BLVD STE #D,LA CANADA FLINTRIDGE,91011,94,A,"1929 W VERDUGO BLVD STE #D, LA CANADA FLINTRIDGE, CA 91011"
2018-08-09,"TRAN, KAM M",FA0051338,THE DONUT,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,247 MAIN ST,EL SEGUNDO,90245,94,A,"247 MAIN ST, EL SEGUNDO, CA 90245"
2018-08-07,DOMINO CORPORATION,FA0019495,DOMINO'S PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,6805 SEPULVEDA BLVD,VAN NUYS,91405,93,A,"6805 SEPULVEDA BLVD, VAN NUYS, CA 91405"
2018-07-10,XIAOMING CHENG,FA0178914,SUNNY'S SUSHI HUT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,11672 BURBANK BLVD,NORTH HOLLYWOOD,91601,94,A,"11672 BURBANK BLVD, NORTH HOLLYWOOD, CA 91601"
2018-07-17,GENERAL ATOMICS AERONAUTICAL,FA0143030,GRAY BUTTE CAFETERIA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,25500 EAST AVE R,PALMDALE,93591,95,A,"25500 EAST AVE R, PALMDALE, CA 93591"
2018-08-01,"GARDEN FRESH RESTAURANTS, LLC",FA0245107,SOUPLANTATION,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,2131 W COMMONWEALTH AVE,ALHAMBRA,91803,90,A,"2131 W COMMONWEALTH AVE, ALHAMBRA, CA 91803"
2018-09-05,CACTUS MEXICAN CUISINE INC.,FA0255755,CACTUS MEXICAN CUISINE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,1320 VINE ST,LOS ANGELES,90028,92,A,"1320 VINE ST, LOS ANGELES, CA 90028"
2018-08-09,LUCIAPARK  LLC,FA0249626,CAFE WG,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,900 WILSHIRE # 130,LOS ANGELES,90017-4701,92,A,"900 WILSHIRE # 130, LOS ANGELES, CA 90017-4701"
2018-08-30,ST JOSEPHS CENTER INC.,FA0070845,ST JOSPEHS CENTER RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,663 ROSE AVE,VENICE,90291,95,A,"663 ROSE AVE, VENICE, CA 90291"
2018-09-14,THE WAREHOUSE RESTAURANT INC,FA0072524,THE WAREHOUSE RESTAURANT,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,4499 ADMIRALTY WAY,MARINA DEL REY,90292,90,A,"4499 ADMIRALTY WAY, MARINA DEL REY, CA 90292"
2018-04-23,"SOOD, MOHIT",FA0034929,SUBWAY SANDWICHES,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,14417 ROSCOE BLVD STE A,PANORAMA CITY,91402,98,A,"14417 ROSCOE BLVD STE A, PANORAMA CITY, CA 91402"
2018-08-31,PROSSIMO LLC,FA0247991,COSA BUONA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2100 W SUNSET BLVD,LOS ANGELES,90026,95,A,"2100 W SUNSET BLVD, LOS ANGELES, CA 90026"
2018-04-23,CHOW HOUSE LP,FA0155777,SIX RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,23536 CALABASAS RD,CALABASAS,91302,91,A,"23536 CALABASAS RD, CALABASAS, CA 91302"
2018-07-18,SHEKARCHI EIMON M.,FA0072472,THE SIDEWALK GRILL,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1727 N VERMONT AVE STE 102,LOS ANGELES,90027,96,A,"1727 N VERMONT AVE STE 102, LOS ANGELES, CA 90027"
2018-05-14,SENIOR CLASSIC LEASING,FA0007677,CARL'S JR,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,2980 E WORKMAN AVE,WEST COVINA,91791,95,A,"2980 E WORKMAN AVE, WEST COVINA, CA 91791"
2018-01-09,BIRRIERIA LA SUPREMA LLC,FA0249296,BIRRIERIA LA SUPREMA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,437 AZUSA AVE,LA PUENTE,91744,94,A,"437 AZUSA AVE, LA PUENTE, CA 91744"
2018-07-23,"MARTINEZ, RAUL",FA0012764,EL TAURINO,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1104 S HOOVER ST,LOS ANGELES,90006,97,A,"1104 S HOOVER ST, LOS ANGELES, CA 90006"
2018-07-11,RUBEN SANCHEZ,FA0159608,TRES PALMAS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2910 DIVISION ST,LOS ANGELES,90065,92,A,"2910 DIVISION ST, LOS ANGELES, CA 90065"
2018-05-02,"UNG,NGIM PHEK",FA0050009,SWEET HOUSE DONUT SHOP,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1110 W ANAHEIM ST,WILMINGTON,90744,96,A,"1110 W ANAHEIM ST, WILMINGTON, CA 90744"
2018-08-29,"THE PARK BAR AND GRILL, INC",FA0051651,THE PARK BAR AND GRILL,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2007 W BURBANK BLVD,BURBANK,91506,95,A,"2007 W BURBANK BLVD, BURBANK, CA 91506"
2018-09-13,SALAD ON GRAND CORP,FA0139089,SALATA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,300 S GRAND AVE # LP007,LOS ANGELES,90071,98,A,"300 S GRAND AVE # LP007, LOS ANGELES, CA 90071"
2018-08-28,BARE CALIFORNIA LLC.,FA0202791,BARE BURGER,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2732 MAIN ST,SANTA MONICA,90405-4008,95,A,"2732 MAIN ST, SANTA MONICA, CA 90405-4008"
2018-06-19,SDQ LLC,FA0068010,ORTEGA 120,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,1814 S PACIFIC COAST HWY,REDONDO BEACH,90277,90,A,"1814 S PACIFIC COAST HWY, REDONDO BEACH, CA 90277"
2018-07-24,"GILSPIA, INC",FA0006882,AOKI JAPANESE RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2307 D ST,LA VERNE,91750,94,A,"2307 D ST, LA VERNE, CA 91750"
2018-09-25,P. R. PERNECKY MANAGEMENT,FA0039668,MCDONALD'S,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,4947 HUNTINGTON DR N,LOS ANGELES,90032,96,A,"4947 HUNTINGTON DR N, LOS ANGELES, CA 90032"
2018-09-13,VICTORY BREAD LLC,FA0222893,VICTORY BREAD,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,13245 VICTORY BLVD,VAN NUYS,91401-2025,90,A,"13245 VICTORY BLVD, VAN NUYS, CA 91401-2025"
2018-09-27,"BAGHDASSARIAN, HACOP",FA0038079,MASSIS KABOB,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,14006 RIVERSIDE DR #250,SHERMAN OAKS,91423,96,A,"14006 RIVERSIDE DR #250, SHERMAN OAKS, CA 91423"
2018-03-20,CLASSIC AUTO GALLERY GLENDOR,FA0059946,CLASSIC COFFEE,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,148 N GLENDORA AVE,GLENDORA,91741,97,A,"148 N GLENDORA AVE, GLENDORA, CA 91741"
2018-08-29,"BILLIONAIRE MANAGEMENT GROUP, INC",FA0177620,PALERMO PIZZA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4741 PECK RD,EL MONTE,91732,95,A,"4741 PECK RD, EL MONTE, CA 91732"
2017-12-12,SKLD GOODIES,FA0012014,EDIBLE ARRANGEMENTS,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,128 E FOOTHILL BLVD,ARCADIA,91006,97,A,"128 E FOOTHILL BLVD, ARCADIA, CA 91006"
2018-07-11,"TARA'S HIMALAYAN CUISINE, INC.",FA0179229,TARA'S HIMALAYAN CUISINE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,17221 PIONEER BLVD,ARTESIA,90701,96,A,"17221 PIONEER BLVD, ARTESIA, CA 90701"
2018-09-17,"GONI, CELFIO",FA0029263,INCA GOURMET PERUVIAN BUFFET,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,15651 HAWTHORNE BLVD BCD,LAWNDALE,90260,92,A,"15651 HAWTHORNE BLVD BCD, LAWNDALE, CA 90260"
2018-05-16,SOON POONG INC,FA0047416,SEOUL TOFU HOUSE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2139 FOOTHILL BLVD,LA CANADA FLINTRIDGE,91011,93,A,"2139 FOOTHILL BLVD, LA CANADA FLINTRIDGE, CA 91011"
2018-03-20,"I HEART BOBA, INC",FA0222062,I HEART BOBA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,17418 COLIMA RD,ROWLAND HEIGHTS,91748,97,A,"17418 COLIMA RD, ROWLAND HEIGHTS, CA 91748"
2018-07-16,BISTRO NA'S INC,FA0244629,BISTRO NA'S,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,9055 LAS TUNAS DR # 105,TEMPLE CITY,91780,92,A,"9055 LAS TUNAS DR # 105, TEMPLE CITY, CA 91780"
2018-08-27,"IDT, INC",FA0041535,MORE THAN WAFFLES,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,17200 VENTURA BLVD STE 109,ENCINO,91316,97,A,"17200 VENTURA BLVD STE 109, ENCINO, CA 91316"
2018-06-29,MISUNDERSTOOD MADMAN,FA0259486,UNINCORPORATED COFFEE ROASTERS,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,3021 LINCOLN AVE,ALTADENA,91001,100,A,"3021 LINCOLN AVE, ALTADENA, CA 91001"
2018-05-16,YU & JU LLC,FA0010880,BRICK AND SCONES,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,403 N LARCHMONT BLVD,LOS ANGELES,90004,93,A,"403 N LARCHMONT BLVD, LOS ANGELES, CA 90004"
2018-09-13,BOBA EXPRESS INC,FA0010137,BOBA EXPRESS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,9653 LAS TUNAS DR,TEMPLE CITY,91780,95,A,"9653 LAS TUNAS DR, TEMPLE CITY, CA 91780"
2018-07-31,"AREAS USA LAX, LLC",FA0143606,ENGINE COMPANY NO. 28,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,800 WORLD WAY # 8,LOS ANGELES,90045,96,A,"800 WORLD WAY # 8, LOS ANGELES, CA 90045"
2018-07-18,MOON SUNG N.,FA0016375,COLIN FISH MARKET,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4873 W ADAMS BLVD,LOS ANGELES,90016,94,A,"4873 W ADAMS BLVD, LOS ANGELES, CA 90016"
2018-08-15,MARRIOTT INTERNATIONAL,FA0072207,THE COURTYARD,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2000 E MARIPOSA AVE,EL SEGUNDO,90245,93,A,"2000 E MARIPOSA AVE, EL SEGUNDO, CA 90245"
2018-09-04,"HERRERA,SAMUEL",FA0047642,SAN MIGUEL RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,103 S VERMONT AVE,LOS ANGELES,90004,95,A,"103 S VERMONT AVE, LOS ANGELES, CA 90004"
2018-05-01,GYU KWANG JUNG,FA0243121,HAVE SOME COFFEE,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,851 1/2 S WESTERN AVE,LOS ANGELES,90005,95,A,"851 1/2 S WESTERN AVE, LOS ANGELES, CA 90005"
